90,Kyle Korver,SG,35,CLE,8,0,19.5,2.6,5.1,0.512,2,4.1,0.485,0.6,1,0.625,0.707,0.5,0.5,1,0.3,2,2.3,0.9,0.5,0.5,0.4,0.8,7.8
91,Tristan Thompson,C,25,CLE,8,8,32.8,3.1,5.9,0.532,0,0,,3.1,5.9,0.532,0.532,1.5,2.6,0.571,4.9,5.8,10.6,1,0.5,0.9,1,2.3,7.8
92,Matthew Dellavedova,PG,26,MIL,6,0,26.5,2.7,6.8,0.39,1,2.7,0.375,1.7,4.2,0.4,0.463,1.3,1.7,0.8,0.2,1.8,2,2,0.2,0,1.2,0.8,7.7
93,Luc Mbah a Moute,SF,30,LAC,7,7,32,2.4,6.1,0.395,0.7,2.3,0.313,1.7,3.9,0.444,0.453,2,2.9,0.7,1.4,3.6,5,1,1.1,0.6,0.4,2.3,7.6
94,Derrick Favors,PF,25,UTA,11,2,20.5,3.3,5.6,0.581,0,0,,3.3,5.6,0.581,0.581,1,2.1,0.478,1.4,4.1,5.5,0.9,0.7,0.5,0.4,2.3,7.5
95,JaMychal Green,PF,26,MEM,6,2,19.7,2.8,6,0.472,1.2,2.7,0.438,1.7,3.3,0.5,0.569,0.5,0.5,1,0.5,2.8,3.3,0.3,0,0,0.7,3.5,7.3
96,Maurice Harkless,SF,23,POR,4,4,24.8,2.5,8.5,0.294,0.5,3,0.167,2,5.5,0.364,0.324,1.8,2,0.875,1.8,1.5,3.3,0.8,1.3,1.3,0.3,3.5,7.3
97,C.J. Miles,SF,29,IND,4,2,20.5,2.8,6,0.458,1.3,4,0.313,1.5,2,0.75,0.563,0.5,0.5,1,1,1,2,0.3,0.5,0.3,0.5,3,7.3
98,Kevin Seraphin,PF,27,IND,4,0,14.8,3,6.5,0.462,0,0,,3,6.5,0.462,0.462,1.3,1.8,0.714,2,1.5,3.5,1,0,0.5,1,2.5,7.3
99,Paul Zipser,SF,22,CHI,6,0,22.7,2.5,5.5,0.455,1,2.7,0.375,1.5,2.8,0.529,0.545,1.3,1.3,1,0.5,3,3.5,0.5,0.2,0.2,1.2,2,7.3
100,Andre Iguodala,SF,33,GSW,9,0,26.3,2.7,6.3,0.421,0.3,2.4,0.136,2.3,3.9,0.6,0.447,1.3,1.9,0.706,0.4,4,4.4,3.3,0.7,0.2,1,1.6,7
101,Pau Gasol,C,36,SAS,13,6,23.5,2.8,6.9,0.4,0.5,1.3,0.353,2.3,5.6,0.411,0.433,0.9,1.4,0.667,2.2,4.5,6.7,2,0.5,1.2,1,2.2,6.9
102,Ian Clark,SG,25,GSW,9,0,13.3,2.3,4.6,0.512,0.6,1.3,0.417,1.8,3.2,0.552,0.573,1.6,1.7,0.933,0.2,1.8,2,0.3,0.1,0,0.7,1.1,6.8
103,Gerald Green,SF,31,BOS,9,6,15.1,2.4,5.6,0.44,1.3,3.2,0.414,1.1,2.3,0.476,0.56,0.6,0.7,0.833,0.2,1.3,1.6,0.8,0.1,0,0.4,1.6,6.8
104,Shabazz Napier,PG,25,POR,4,0,11.8,2,4.8,0.421,1.3,2.8,0.455,0.8,2,0.375,0.553,1.5,2,0.75,0.3,0.8,1,0.8,0.5,0,0,1.5,6.8
105,JaVale McGee,C,29,GSW,9,0,10.7,3,4.1,0.73,0,0,,3,4.1,0.73,0.73,0.7,0.9,0.75,1.4,1.9,3.3,0.1,0.2,1.2,0.4,2.2,6.7
106,Bobby Portis,PF,21,CHI,6,0,20.2,2.8,5.5,0.515,1,2.2,0.462,1.8,3.3,0.55,0.606,0,0,,0.8,5.2,6,1.2,0.5,0.5,1,1.7,6.7
